Site,SDCA,Installed CAT,Today_DV,DV_30_Avg,DV_Trend,Today_CA,CA_30_Avg,CA_Trend,Status,B1_Status,B28_Status,B41_Status,Recommendation
Pathepalle_WL2237,MULUGU,CAT-B,9.764919683337196,10.22235081633551,Decrease,99.575,99.915434773763,Decrease,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Varikolpally_278011_UVTSWGL00005,PARKAL,CAT-B,9.765664773061864,7.275419217286,Increase,99.705,99.55246362879654,Increase,Zero Sector: S0 (B1) | Zero Sector: S2 (B28),Zero Sector: S0 (B1),Zero Sector: S2 (B28),Not Applicable,
Pulakurthy_WL2267,PARKAL,CAT-B,11.755215908400698,8.651166664622709,Increase,99.88499999999999,99.43891288867893,Increase,"Low Sector: S1 (B1) | Low Sector: S0,S2 (B28)",Low Sector: S1 (B1),"Low Sector: S0,S2 (B28)",Not Applicable,
Isipet_GTL_WL5079,PARKAL,CAT-B,11.979445643722997,10.02410549689083,Increase,99.88,99.53753609477609,Increase,Low Sector: S1 (B1) | Low Sector: S1 (B28),Low Sector: S1 (B1),Low Sector: S1 (B28),Not Applicable,
Garimillapalle_WL2154,PARKAL,CAT-B,12.407160781323888,17.850813321924438,Decrease,99.82166666666667,99.57275351482889,Increase,Low Sector: S1 (B1) | Low Sector: S1 (B28),Low Sector: S1 (B1),Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Gorlavedu_WL2155,PARKAL,CAT-B,12.667266036383786,10.581126103891666,Increase,99.58,99.61072460008704,Decrease,Zero Sector: S1 (B28),Healthy,Zero Sector: S1 (B28),Not Applicable,
Ameenabad_WL2137,NARSAMPET,CAT-B,13.706785853020829,12.476550010653815,Increase,99.69500000000001,97.77514493417048,Increase,Low Sector: S0 (B28),Healthy,Low Sector: S0 (B28),Not Applicable,
Nadikuda_WL2240,PARKAL,CAT-B,13.90157563146201,15.68229407897838,Decrease,99.89,99.74768089405002,Increase,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Gurajala_WL5033,NARSAMPET,CAT-B,14.86420223116873,10.102169713440022,Increase,99.93,99.14463770106218,Increase,Low Sector: S1 (B1),Low Sector: S1 (B1),Healthy,Not Applicable,
Upparapalle_WL2221,NARSAMPET,CAT-B,16.562956077046678,16.55243526743723,Increase,99.83999999999999,99.76920279903686,Increase,Zero Sector: S1 (B28),Healthy,Zero Sector: S1 (B28),Not Applicable,
Mogullapalli_WL2245,PARKAL,CAT-B,17.669821797870085,17.820271383722602,Decrease,99.46999999999998,99.69413056083349,Decrease,"Low Sector: S0,S2 (B1) | Low Sector: S1,S2 (B28)","Low Sector: S0,S2 (B1)","Low Sector: S1,S2 (B28)",Not Applicable,Advise Marketing Campaign
Pallampet_ITIL_WL5181,MULUGU,CAT-B,17.83746674656867,14.565428150383116,Increase,99.735,99.92079710144927,Decrease,Low Sector: S2 (B28),Healthy,Low Sector: S2 (B28),Not Applicable,
Gundenga_WL5059,NARSAMPET,CAT-B,19.08509598858651,15.131665045861132,Increase,99.93,97.96260857623555,Increase,Healthy,Healthy,Healthy,Not Applicable,
Ootai_WL2198,NARSAMPET,CAT-B,19.24507240951057,28.457708147043952,Decrease,99.92999999999999,98.02543485337407,Increase,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Maheswaram_WL5027,NARSAMPET,CAT-B,19.45784931164232,20.953964725416125,Decrease,99.65000000000002,99.86804346941517,Decrease,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Redlawada_WL2214,NARSAMPET,CAT-B,19.9785581352189,18.403098107408706,Increase,99.815,94.66608660269473,Increase,Low Sector: S2 (B1) | Low Sector: S1 (B28),Low Sector: S2 (B1),Low Sector: S1 (B28),Not Applicable,
Kothurmotlagudem_278332_UVTSWGL00002,ETURUNAGARAM,CAT-B,22.109290494583448,20.55478199819721,Increase,98.70333333333333,99.4637680783479,Decrease,Low Sector: S0 (B1) | Low Sector: S1 (B28),Low Sector: S0 (B1),Low Sector: S1 (B28),Not Applicable,
Banjarellapur_577983_UVTSWGL00003,ETURUNAGARAM,CAT-B,22.595726255327385,11.195207165398925,Increase,83.33333333333333,58.056140567712596,Increase,Low Sector: S2 (B1) | Zero Sector: S0 (B28),Low Sector: S2 (B1),Zero Sector: S0 (B28),Not Applicable,
Chandrugonda_WL_WL5052,NARSAMPET,CAT-B,24.428723083809,20.096998620219505,Increase,97.81333333333333,96.01427527386205,Increase,Healthy,Healthy,Healthy,Not Applicable,
Nekkonda_WL2037,NARSAMPET,CAT-B,25.018363187089527,35.512908382589586,Decrease,98.83833333333332,99.95485497737275,Decrease,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Ankampally_278359_UVTSWGL00046,ETURUNAGARAM,CAT-A,25.175547555088933,34.417332252891036,Decrease,99.62,99.53362350685009,Increase,Low Sector: S0 (B28),Not Applicable,Low Sector: S0 (B28),Not Applicable,Advise Marketing Campaign
Tekumatla_WL2218,PARKAL,CAT-B,25.21466199122367,20.434483093085372,Increase,99.855,99.56717384448949,Increase,Low Sector: S1 (B28),Healthy,Low Sector: S1 (B28),Not Applicable,
Jangedu_Mini_WL2161,PARKAL,CAT-B,25.64970618486401,27.757596038902765,Decrease,98.925,99.05920284105383,Decrease,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Girnibavi_WL2068,NARSAMPET,CAT-B,25.73717683739958,23.418700994737424,Increase,100.0,99.56057964380236,Increase,Healthy,Healthy,Healthy,Not Applicable,
Shyampet-NB_WL2090,PARKAL,CAT-B,25.825274541974036,37.705193439001775,Decrease,100.0,99.74804340528404,Increase,Low Sector: S2 (B28),Healthy,Low Sector: S2 (B28),Not Applicable,Advise Marketing Campaign
GUNDAM_213697(F)_UVTSWGL00013,NARSAMPET,CAT-B,25.884421416558276,30.024148538025642,Decrease,99.96499999999999,92.2944997959137,Increase,"Low Sector: S0,S2 (B1) | Low Sector: S0,S2 (B28)","Low Sector: S0,S2 (B1)","Low Sector: S0,S2 (B28)",Not Applicable,Advise Marketing Campaign
Thimmapur_578480_UVTSWGL00080,NARSAMPET,CAT-B,26.099693912081356,42.61289925230655,Decrease,100.0,96.7200723211316,Increase,"Low Sector: S0,S1 (B1) | Low Sector: S0 (B28)","Low Sector: S0,S1 (B1)",Low Sector: S0 (B28),Not Applicable,Advise Marketing Campaign
Motlagudem_578006_UVTSWGL00125,MULUGU,CAT-A,27.18917517364016,27.297448786099707,Decrease,100.0,99.73043468972911,Increase,Healthy,Not Applicable,Healthy,Not Applicable,Advise Marketing Campaign
Narsaiguem_278341_UVTSWGL00057,ETURUNAGARAM,CAT-B,27.432590252719724,29.342010391503504,Decrease,99.25,99.431449215654,Decrease,Low Sector: S1 (B1) | Zero Sector: S2 (B28),Low Sector: S1 (B1),Zero Sector: S2 (B28),Not Applicable,Advise Marketing Campaign
Rainigudem_WL_WL5141,MULUGU,CAT-B,27.552655392326308,20.32727913515019,Increase,100.0,97.27615921020507,Increase,Low Sector: S1 (B1) | Low Sector: S0 (B28),Low Sector: S1 (B1),Low Sector: S0 (B28),Not Applicable,
Regonda_WL2089,PARKAL,CAT-B,28.371782422997015,31.991672507052556,Decrease,100.0,99.74594178351803,Increase,"Low Sector: S2 (B1) | Low Sector: S1,S2 (B28)",Low Sector: S2 (B1),"Low Sector: S1,S2 (B28)",Not Applicable,Advise Marketing Campaign
Nandigama_WL_WL5061,NARSAMPET,CAT-B,28.68425739277147,33.589049092214466,Decrease,99.815,99.8035509988536,Increase,"Low Sector: S0,S2 (B1) | Low Sector: S1 (B28)","Low Sector: S0,S2 (B1)",Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
MDRM_Jakaram_WL2274,MULUGU,CAT-B,30.422640925273274,33.11063663226856,Decrease,99.50833333333333,97.39123195261193,Increase,Low Sector: S0 (B28),Healthy,Low Sector: S0 (B28),Not Applicable,Advise Marketing Campaign
Bothavaniguda_578432_UVTSWGL00064,NARSAMPET,CAT-A,32.86976979859166,40.564606386547176,Decrease,100.0,96.82594232752702,Increase,Low Sector: S0 (B28),Not Applicable,Low Sector: S0 (B28),Not Applicable,Advise Marketing Campaign
Venkatapur_WL_1_WL2093,MULUGU,CAT-B,33.63776175025848,28.466340716431485,Increase,99.705,99.90478258437005,Decrease,Low Sector: S1 (B1),Low Sector: S1 (B1),Healthy,Not Applicable,
Edullapalli_WL2134,NARSAMPET,CAT-B,34.37120601814232,31.14848202001298,Increase,100.0,96.39275344959202,Increase,Healthy,Healthy,Healthy,Not Applicable,
Ootla_578465_UVTSWGL00099,NARSAMPET,CAT-B,35.56553042773148,35.04761533110082,Increase,50.0,70.49086959838866,Decrease,"Zero Sector: S0,S1,S2 (B28)",Healthy,"Zero Sector: S0,S1,S2 (B28)",Not Applicable,
RAMAVARAM_578417(F)_UVTSWGL00036,NARSAMPET,CAT-B,35.614120975136686,44.281054540113864,Decrease,98.58999999999999,98.17666666666668,Increase,"Low Sector: S0,S1 (B1) | Low Sector: S0,S1 (B28)","Low Sector: S0,S1 (B1)","Low Sector: S0,S1 (B28)",Not Applicable,Advise Marketing Campaign
Medipalli_Nallabelli_WL2234,NARSAMPET,CAT-B,36.17839626409109,41.6198575824188,Decrease,100.0,98.18608706930408,Increase,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Chityala_WL2064,PARKAL,CAT-B,37.50264453515409,28.044569999072674,Increase,99.355,99.59376797883407,Decrease,Healthy,Healthy,Healthy,Not Applicable,
Bhupalapally_WL_WL2012,PARKAL,CAT-C,41.46759190782892,53.2996273935771,Decrease,98.14999999999999,99.56942025226094,Decrease,Healthy,Not Applicable,Healthy,Healthy,Advise Marketing Campaign
Pakalashoknagr_WL2199,NARSAMPET,CAT-B,43.74785402789709,46.0113655959876,Decrease,99.54,96.93268087193584,Increase,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Narsimhasagar_WL5046,ETURUNAGARAM,CAT-B,44.37593635823569,55.55193554696923,Decrease,99.235,99.47398564877716,Decrease,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Duggondi_WL2151,NARSAMPET,CAT-B,44.93508790992188,46.57036865536733,Decrease,98.13,99.86782604051672,Decrease,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Waddegudem_577977_UVTSWGL00094,ETURUNAGARAM,CAT-A,45.676812055520614,39.46114658148335,Increase,98.65000000000002,99.86768123018567,Decrease,"Low Sector: S0,S1 (B28)",Not Applicable,"Low Sector: S0,S1 (B28)",Not Applicable,
Karnegandi_578414_UVTSWGL00062,NARSAMPET,CAT-B,47.103013356216096,55.783083057900164,Decrease,99.55,95.80094195490297,Increase,"Low Sector: S1,S2 (B1) | Zero Sector: S2 (B28)","Low Sector: S1,S2 (B1)",Zero Sector: S2 (B28),Not Applicable,Advise Marketing Campaign
Mulugu_Ghanpur_WL2067,MULUGU,CAT-B,48.765898761339336,49.38867747634637,Decrease,100.0,99.8911594866324,Increase,Low Sector: S1 (B28),Healthy,Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Kanthanapalle_279531_UVTSWGL00011,ETURUNAGARAM,CAT-A,52.3547553140668,46.233382394071604,Increase,100.0,99.84202906069548,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
ParkalNB_WL2132,PARKAL,CAT-B,52.56040276866392,47.652112030393035,Increase,100.0,99.72565203238224,Increase,Healthy,Healthy,Healthy,Not Applicable,
Chennaraopet_WL5107,NARSAMPET,CAT-B,55.92061291169361,52.16908225482319,Increase,99.52499999999999,99.88746381676715,Decrease,Low Sector: S2 (B1) | Low Sector: S2 (B28),Low Sector: S2 (B1),Low Sector: S2 (B28),Not Applicable,
Nallabelly_WL_WL2083,NARSAMPET,CAT-B,57.86707553919397,59.45715383194997,Decrease,100.0,99.31137680495995,Increase,Low Sector: S0 (B1),Low Sector: S0 (B1),Healthy,Not Applicable,Advise Marketing Campaign
Chelpur_WL2081,PARKAL,CAT-C,59.88117230404153,77.14610552623235,Decrease,99.39,99.45485515428626,Decrease,Healthy,Not Applicable,Healthy,Healthy,Advise Marketing Campaign
Challagarega_WL2143,PARKAL,CAT-B,60.32998006325208,62.21956304814657,Decrease,99.88499999999999,99.59434807597725,Increase,"Low Sector: S1,S2 (B1) | Low Sector: S1 (B28)","Low Sector: S1,S2 (B1)",Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Parakala_WL_WL2039,PARKAL,CAT-B,61.522861984558226,65.74867942727464,Decrease,98.64666666666669,99.74876800979392,Decrease,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Doravarivempalle_578431_UVTSWGL00063,NARSAMPET,CAT-A,61.574863641522775,75.63756936465694,Decrease,100.0,95.7830434848951,Increase,"Low Sector: S0,S1 (B28)",Not Applicable,"Low Sector: S0,S1 (B28)",Not Applicable,Advise Marketing Campaign
Chunchpaly_INDUS_WL5096,ETURUNAGARAM,CAT-B,62.78408581204703,57.79116512127213,Increase,99.265,99.67130430802055,Decrease,Low Sector: S0 (B1) | Low Sector: S0 (B28),Low Sector: S0 (B1),Low Sector: S0 (B28),Not Applicable,
Velubelly_INDU_WL5145,NARSAMPET,CAT-D,63.55167217645783,83.35127129607505,Decrease,99.97666666666666,97.20869543987772,Increase,Healthy,Healthy,Healthy,Healthy,Advise Marketing Campaign
Mallampalli_WL2257,MULUGU,CAT-B,64.956139968708,68.27969477868936,Decrease,100.0,99.74652179220448,Increase,Low Sector: S1 (B1),Low Sector: S1 (B1),Healthy,Not Applicable,Advise Marketing Campaign
Chityala_577877_UVTSWGL00039,ETURUNAGARAM,CAT-A,65.24927057605235,61.16687201882397,Increase,100.0,99.86956520412278,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
Bittupalle_(PL)_577976_UVTSWGL00055,ETURUNAGARAM,CAT-A,66.83322584722185,71.47166940784078,Decrease,98.65000000000002,99.89376807613648,Decrease,"Low Sector: S0,S2 (B28)",Not Applicable,"Low Sector: S0,S2 (B28)",Not Applicable,Advise Marketing Campaign
Chainpaka_213368_UVTSWGL00004,PARKAL,CAT-B,68.49847054947158,85.0225842702512,Decrease,100.0,99.49188398941703,Increase,Low Sector: S1 (B1) | Zero Sector: S1 (B28),Low Sector: S1 (B1),Zero Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Narlapur_WL2252_Existing,ETURUNAGARAM,CAT-C,73.64465196058137,72.79907238160553,Increase,99.77500000000002,99.00326082533682,Increase,Healthy,Not Applicable,Healthy,Healthy,
Medaram_EM_WL2251_Existing,ETURUNAGARAM,CAT-A,75.26644151471542,76.91273673353707,Decrease,100.0,99.58536228345787,Increase,Healthy,Not Applicable,Healthy,Not Applicable,Advise Marketing Campaign
Jangalpalli_WL5117,MULUGU,CAT-B,78.59208051301516,92.70862909732367,Decrease,100.0,99.64956537440203,Increase,Low Sector: S0 (B1),Low Sector: S0 (B1),Healthy,Not Applicable,Advise Marketing Campaign
Bhupathipuram_577863_UVTSWGL00040,ETURUNAGARAM,CAT-A,79.64956085011356,67.84188153504694,Increase,99.65666666666668,99.77971021569293,Decrease,Low Sector: S0 (B28),Not Applicable,Low Sector: S0 (B28),Not Applicable,
Puttabhupathi_578430_UVTSWGL00116,NARSAMPET,CAT-A,84.20430931635183,94.69214549601689,Decrease,100.0,97.84188361347584,Increase,"Low Sector: S0,S1 (B28)",Not Applicable,"Low Sector: S0,S1 (B28)",Not Applicable,Advise Marketing Campaign
Katapur_WL2166,ETURUNAGARAM,CAT-C,90.41089306492341,70.54610459593418,Increase,100.0,99.2777537912562,Increase,Healthy,Not Applicable,Healthy,Healthy,
Gudur_WL_WL2028,NARSAMPET,CAT-D,91.63548521883757,81.01772155100461,Increase,100.0,95.8372947519643,Increase,Healthy,Healthy,Healthy,Healthy,
Eturunagaram_BS_WL2228,ETURUNAGARAM,CAT-C,91.93529409170131,112.54984148824565,Decrease,99.32000000000001,98.96978282099184,Increase,Healthy,Not Applicable,Healthy,Healthy,Advise Marketing Campaign
Narsampeta_II_WL2084,NARSAMPET,CAT-D,92.78776230942441,107.08273416198763,Decrease,99.60666666666667,99.83028988160949,Decrease,Healthy,Healthy,Healthy,Healthy,Advise Marketing Campaign
Mangalavrpet_WL5060,NARSAMPET,CAT-B,96.5301624471319,89.44125422441064,Increase,99.7,97.02362321162568,Increase,Healthy,Healthy,Healthy,Not Applicable,
Kodiselamitta_578451,NARSAMPET,CAT-B,102.60687364079055,112.39946806219699,Decrease,99.585,97.68195685787475,Increase,Low Sector: S2 (B1) | Low Sector: S1 (B28),Low Sector: S2 (B1),Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Chalvai_WL_WL2062,MULUGU,CAT-B,103.22900270018701,101.08432463295736,Increase,99.64833333333333,99.74470999676248,Decrease,Healthy,Healthy,Healthy,Not Applicable,
Nimmagudem_278330_UVTSWGL00079,ETURUNAGARAM,CAT-B,110.92908421531298,127.22578517279261,Decrease,99.425,99.55355071136916,Decrease,Low Sector: S1 (B1) | Low Sector: S2 (B28),Low Sector: S1 (B1),Low Sector: S2 (B28),Not Applicable,Advise Marketing Campaign
Vengilapur_WL5140,MULUGU,CAT-D,117.16732059046599,134.9721210191334,Decrease,99.74333333333334,99.58111102412862,Increase,Low Sector: S2 (B1) | Low Sector: S2 (B28),Low Sector: S2 (B1),Low Sector: S2 (B28),Healthy,Advise Marketing Campaign
Eturunagaram_WL2025,ETURUNAGARAM,CAT-C,117.74944522790584,127.49543155201995,Decrease,99.29,99.57050729945084,Decrease,Healthy,Not Applicable,Healthy,Healthy,Advise Marketing Campaign
Pandem_578452_UVTSWGL00035,NARSAMPET,CAT-B,121.04776955023391,140.71309916274603,Decrease,98.505,94.80681177775064,Increase,Low Sector: S0 (B1) | Low Sector: S1 (B28),Low Sector: S0 (B1),Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Vencherami_577794_UVTSWGL00015,PARKAL,CAT-B,122.4291473263873,84.1621386319708,Increase,100.0,98.75340569537617,Increase,Healthy,Healthy,Healthy,Not Applicable,
Khanapur_WL_WL2074,NARSAMPET,CAT-B,123.06089465320092,128.52976564631467,Decrease,98.58999999999999,99.86557967255081,Decrease,Low Sector: S1 (B1) | Low Sector: S0 (B28),Low Sector: S1 (B1),Low Sector: S0 (B28),Not Applicable,Advise Marketing Campaign
Veerapuram_578015_UVTSWGL00085,ETURUNAGARAM,CAT-A,126.2825811263173,117.69610368522493,Increase,100.0,99.48318871981856,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
Dubbagudem_578419_UVTSWGL00097,NARSAMPET,CAT-B,129.1982473349198,125.81971596712222,Increase,99.19500000000001,95.14333296070926,Increase,"Low Sector: S0 (B1) | Zero Sector: S0,S1,S2 (B28)",Low Sector: S0 (B1),"Zero Sector: S0,S1,S2 (B28)",Not Applicable,
Bollepalle_(PL)_578003_UVTSWGL00008,ETURUNAGARAM,CAT-B,140.21082387771446,94.03925969265393,Increase,100.0,83.6328264015308,Increase,"Low Sector: S1,S2 (B1) | Low Sector: S0,S1 (B28)","Low Sector: S1,S2 (B1)","Low Sector: S0,S1 (B28)",Not Applicable,
Roheer_WL5043,ETURUNAGARAM,CAT-D,141.19963465537847,148.44335123409184,Decrease,88.88888888888889,97.10971018325877,Decrease,Zero Sector: S0 (B41),Healthy,Healthy,Zero Sector: S0 (B41),
Beerelli_578019_UVTSWGL00054,ETURUNAGARAM,CAT-A,141.2258138386531,139.97044666074174,Increase,99.25,99.36826107301573,Decrease,"Low Sector: S0,S1 (B28)",Not Applicable,"Low Sector: S0,S1 (B28)",Not Applicable,
Mulugu-TE_WL2035,MULUGU,CAT-C,143.2639768924562,146.10129312683495,Decrease,100.0,99.50246365754498,Increase,Healthy,Not Applicable,Healthy,Healthy,Advise Marketing Campaign
Ilapur_577896_UVTSWGL00043,ETURUNAGARAM,CAT-B,145.48356531094748,122.01396267206086,Increase,99.89,99.55398547628651,Increase,"Low Sector: S1,S2 (B1) | Low Sector: S1,S2 (B28)","Low Sector: S1,S2 (B1)","Low Sector: S1,S2 (B28)",Not Applicable,
Narsampeta_VIOM_WL5026,NARSAMPET,CAT-D,148.70881488639833,149.03077662459862,Decrease,99.02444444444446,99.820579789756,Decrease,Healthy,Healthy,Healthy,Healthy,Advise Marketing Campaign
Chinthaguda_281986_UVTSWGL00041,ETURUNAGARAM,CAT-A,150.1736839907243,119.67097091218444,Increase,99.3,97.72681170035099,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
Kothaguda-WL_WL2076,NARSAMPET,CAT-D,153.62036388460515,171.11143865808828,Decrease,99.9,97.99995164659288,Increase,"Low Sector: S0 (B1) | Low Sector: S1 (B28) | Low Sector: S1,S2 (B41)",Low Sector: S0 (B1),Low Sector: S1 (B28),"Low Sector: S1,S2 (B41)",Advise Marketing Campaign
Ramannagudem_WL5044,ETURUNAGARAM,CAT-D,161.61989444401087,180.0778414516086,Decrease,99.46666666666667,99.85652180694726,Decrease,Low Sector: S2 (B41),Healthy,Healthy,Low Sector: S2 (B41),Advise Marketing Campaign
Lingala_578002_UVTSWGL00010,ETURUNAGARAM,CAT-B,169.7134900586678,151.2048807964969,Increase,99.15000000000002,94.91570180792554,Increase,Low Sector: S1 (B1) | Low Sector: S1 (B28),Low Sector: S1 (B1),Low Sector: S1 (B28),Not Applicable,
Mangapet_WL2034,ETURUNAGARAM,CAT-B,175.5541696297003,169.0176329423671,Increase,98.96499999999999,99.6613768359198,Decrease,Healthy,Healthy,Healthy,Not Applicable,
Kamaram_578415_UVTSWGL00031,NARSAMPET,CAT-A,177.2304597692563,206.84135514075507,Decrease,98.71999999999998,95.75869580697321,Increase,Low Sector: S0 (B28),Not Applicable,Low Sector: S0 (B28),Not Applicable,Advise Marketing Campaign
Marriguda_578420_UVTSWGL00034,NARSAMPET,CAT-A,180.70938322506828,197.12182965688396,Decrease,98.17,95.78318829301473,Increase,Healthy,Not Applicable,Healthy,Not Applicable,Advise Marketing Campaign
Madaguda_578446_UVTSWGL00033,NARSAMPET,CAT-B,183.72070958185918,145.37634195753662,Increase,99.89,96.78942024120386,Increase,Low Sector: S2 (B1) | Low Sector: S0 (B28),Low Sector: S2 (B1),Low Sector: S0 (B28),Not Applicable,
Bathulapalle_213695_UVTSWGL00059,NARSAMPET,CAT-B,197.90671044215532,194.77151210584347,Increase,100.0,96.6856521805473,Increase,Healthy,Healthy,Healthy,Not Applicable,
Gangaram_578449_UVTSWGL00030,NARSAMPET,CAT-A,201.5433997483923,199.89844959825265,Increase,99.71999999999998,97.15797160494151,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
Thativarivempally_279281_UVTSWGL00078,NARSAMPET,CAT-B,230.8683257428926,214.7347983062265,Increase,99.925,96.7227532339787,Increase,Healthy,Healthy,Healthy,Not Applicable,
Pasara_WL2041,MULUGU,CAT-D,231.5476586632426,225.37894756483504,Increase,98.5911111111111,99.74217399855165,Decrease,Healthy,Healthy,Healthy,Healthy,
Malyala_577899_UVTSWGL00006,ETURUNAGARAM,CAT-A,243.4889336656771,238.49893085208353,Increase,100.0,99.42999997788581,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
Chalpaka_577893_UVTSWGL00001,ETURUNAGARAM,CAT-B,275.273863198235,244.23930416051272,Increase,100.0,99.4597102599213,Increase,Low Sector: S0 (B1) | Low Sector: S2 (B28),Low Sector: S0 (B1),Low Sector: S2 (B28),Not Applicable,
Komatlagudem_WL2230,NARSAMPET,CAT-C,276.7581121996034,275.9184865949981,Increase,98.79,91.47057945583175,Increase,Healthy,Not Applicable,Healthy,Healthy,
Narsampeta_WL_WL2004,NARSAMPET,CAT-D,289.1200721831988,288.47657734363605,Increase,100.0,99.80101463133586,Increase,Low Sector: S1 (B28),Healthy,Low Sector: S1 (B28),Healthy,
Kannaigudem_WL2236,ETURUNAGARAM,CAT-D,380.0428870487955,386.91179727548695,Decrease,99.07999999999998,97.96164265508233,Increase,Healthy,Healthy,Healthy,Healthy,Advise Marketing Campaign
