Site,SDCA,Installed CAT,Today_DV,DV_30_Avg,DV_Trend,Today_CA,CA_30_Avg,CA_Trend,Status,B1_Status,B28_Status,B41_Status,Recommendation
Lingala_578002_UVTSWGL00010,ETURUNAGARAM,CAT-B,157.93171427957697,154.73676578632228,Increase,99.44,95.2951587785993,Increase,Low Sector: S2 (B1) | Low Sector: S1 (B28),Low Sector: S2 (B1),Low Sector: S1 (B28),Not Applicable,
Kothaguda-WL_WL2076,NARSAMPET,CAT-D,159.46495727635897,170.34154331833102,Decrease,100.0,97.93951697160655,Increase,"Low Sector: S2 (B1) | Low Sector: S2 (B28) | Low Sector: S0,S1 (B41)",Low Sector: S2 (B1),Low Sector: S2 (B28),"Low Sector: S0,S1 (B41)",Advise Marketing Campaign
Mulugu-TE_WL2035,MULUGU,CAT-C,168.6012201141565,147.10049290188257,Increase,100.0,99.60978247158769,Increase,Healthy,Not Applicable,Healthy,Healthy,
Beerelli_578019_UVTSWGL00054,ETURUNAGARAM,CAT-A,173.9052876066413,141.07320900686665,Increase,100.0,99.40434814453123,Increase,"Low Sector: S0,S2 (B28)",Not Applicable,"Low Sector: S0,S2 (B28)",Not Applicable,
Mangapet_WL2034,ETURUNAGARAM,CAT-B,174.6286544473839,169.86037443481985,Increase,100.0,99.71949277131452,Increase,Healthy,Healthy,Healthy,Not Applicable,
Dubbagudem_578419_UVTSWGL00097,NARSAMPET,CAT-B,178.702286683954,131.86358852159827,Increase,99.44,95.03224613687264,Increase,Healthy,Healthy,Healthy,Not Applicable,
Ramannagudem_WL5044,ETURUNAGARAM,CAT-D,196.5561692044135,178.73571558340115,Increase,100.0,99.82632856138663,Increase,Low Sector: S1 (B41),Healthy,Healthy,Low Sector: S1 (B41),
Marriguda_578420_UVTSWGL00034,NARSAMPET,CAT-A,212.3414034498854,198.97121525102594,Increase,100.0,95.70507246155668,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
Kamaram_578415_UVTSWGL00031,NARSAMPET,CAT-A,218.3761341953649,207.3984402094652,Increase,100.0,95.86275368510809,Increase,Low Sector: S1 (B28),Not Applicable,Low Sector: S1 (B28),Not Applicable,
Gangaram_578449_UVTSWGL00030,NARSAMPET,CAT-A,218.99958886019868,201.08220923167332,Increase,99.71999999999998,97.2531889299033,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
Bathulapalle_213695_UVTSWGL00059,NARSAMPET,CAT-B,221.488870238885,195.7651902827432,Increase,100.0,96.7007970704894,Increase,Healthy,Healthy,Healthy,Not Applicable,
Thativarivempally_279281_UVTSWGL00078,NARSAMPET,CAT-B,239.1836338089775,216.22944314886485,Increase,100.0,96.72760846566462,Increase,Healthy,Healthy,Healthy,Not Applicable,
Pasara_WL2041,MULUGU,CAT-D,272.6321198046202,228.08230246954255,Increase,100.0,99.75497588374188,Increase,Healthy,Healthy,Healthy,Healthy,
Malyala_577899_UVTSWGL00006,ETURUNAGARAM,CAT-A,278.9473120449104,240.68931881887775,Increase,100.0,99.3510144308339,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
Chalpaka_577893_UVTSWGL00001,ETURUNAGARAM,CAT-B,285.7306424807746,245.17842201177626,Increase,100.0,99.3625363203408,Increase,Low Sector: S2 (B1) | Low Sector: S1 (B28),Low Sector: S2 (B1),Low Sector: S1 (B28),Not Applicable,
Komatlagudem_WL2230,NARSAMPET,CAT-C,318.02437236625633,275.1353630973641,Increase,100.0,91.54376784172611,Increase,Healthy,Not Applicable,Healthy,Healthy,
Narsampeta_WL_WL2004,NARSAMPET,CAT-D,342.7920241737732,288.3371559871667,Increase,100.0,99.73429962895341,Increase,Low Sector: S1 (B28),Healthy,Low Sector: S1 (B28),Healthy,
Kannaigudem_WL2236,ETURUNAGARAM,CAT-D,409.95266030542507,386.2680561194814,Increase,100.0,97.9742031034755,Increase,Healthy,Healthy,Healthy,Healthy,
